"carat","cut","color","clarity","depth","table","price","x","y","z"
1.18,"Premium","G","VVS2",61.6,58,9304,6.8,6.77,4.18
0.3,"Premium","G","VS2",59.3,59,630,4.42,4.38,2.61
1.19,"Premium","J","SI1",63,54,4498,6.82,6.74,4.27
0.5,"Ideal","F","VVS2",60.7,57,1912,5.12,5.16,3.12
1.02,"Premium","F","SI2",62,59,4238,6.42,6.33,3.95
1.5,"Premium","G","SI2",58.3,61,6720,7.55,7.4,4.34
0.7,"Premium","F","VS2",61.8,60,2818,5.69,5.64,3.5
0.53,"Good","E","SI1",63.1,56,1355,5.15,5.19,3.26
1.29,"Fair","F","SI2",64.4,57,4824,6.85,6.79,4.39
0.47,"Good","E","SI2",56.5,62,844,5.17,5.09,2.9
0.39,"Premium","D","VS2",61.3,58,958,4.7,4.73,2.89
1.13,"Premium","J","SI2",59.7,59,4093,6.85,6.76,4.06
0.3,"Ideal","E","VS1",61.7,57,710,4.28,4.31,2.65
1.01,"Good","F","SI2",63,60,3827,6.28,6.35,3.98
1.6,"Ideal","J","SI1",62.2,55,8138,7.46,7.53,4.66
0.37,"Very Good","G","VS2",62.8,60,649,4.55,4.59,2.87
0.3,"Fair","F","VS2",56.3,64,729,4.44,4.39,2.5
1.57,"Fair","H","VS1",67.3,66,8133,7.85,5.75,3.87
0.34,"Ideal","G","VVS2",62.4,53,751,4.49,4.52,2.81
0.32,"Ideal","G","VVS2",61.3,55,698,4.4,4.44,2.71
1.25,"Ideal","H","SI2",61.2,57,5706,6.89,6.93,4.23
1.04,"Premium","F","VS2",61.7,59,6906,6.49,6.45,3.99
0.57,"Ideal","F","SI2",61,56,1397,5.37,5.32,3.26
1.24,"Ideal","E","VS2",62.9,56,9111,6.84,6.79,4.29
1.01,"Very Good","E","VS1",62.1,58,6997,6.39,6.45,3.99
1.01,"Premium","E","SI2",60.6,58,4118,6.53,6.47,3.94
1.6,"Very Good","H","VS1",61.2,58.6,12378,7.48,7.63,4.62
0.38,"Ideal","F","VS2",62,56,800,4.63,4.66,2.88
0.25,"Very Good","G","VVS1",61.4,56,525,4.04,4.07,2.49
0.27,"Premium","E","VVS1",60.6,58,799,4.2,4.18,2.54
0.61,"Premium","D","VS2",62.3,55,2251,5.47,5.42,3.39
1.51,"Premium","H","SI2",62.5,57,7864,7.36,7.26,4.57
0.34,"Premium","G","VS1",60.4,61,880,4.53,4.48,2.72
0.51,"Very Good","J","VS2",61.6,58,1008,5.09,5.14,3.15
0.5,"Ideal","F","SI1",61,56,1286,5.15,5.17,3.15
0.39,"Ideal","F","VS1",61.9,55.2,939,4.66,4.7,2.89
0.53,"Ideal","H","IF",60.2,56,1712,5.29,5.32,3.19
0.3,"Premium","F","VVS2",61.6,58,945,4.35,4.28,2.66
0.77,"Very Good","J","VS2",62.9,58,2155,5.83,5.87,3.68
0.71,"Premium","F","VS2",62.6,58,2853,5.67,5.7,3.56
1.01,"Good","G","VS2",63.7,56,5701,6.4,6.32,4.05
0.5,"Very Good","E","VVS2",62,55,2105,5.08,5.11,3.16
1.19,"Premium","D","SI2",58.8,58,5504,7.04,6.9,4.1
1,"Premium","F","SI2",62.4,56,3977,6.35,6.31,3.95
0.4,"Good","E","SI1",63.8,56,882,4.74,4.7,3.01
2.18,"Premium","G","SI2",61.9,60,18003,8.29,8.24,5.12
0.36,"Ideal","E","SI1",62.1,56,631,4.56,4.59,2.84
0.24,"Very Good","E","VVS1",62,60,485,3.96,4.01,2.47
0.45,"Ideal","I","VS1",61.9,54,825,4.95,4.97,3.07
2,"Good","E","SI2",57.6,63,16206,8.2,8.16,4.73
0.24,"Ideal","G","VVS1",62,55,559,4.01,4.03,2.49
0.37,"Ideal","D","SI1",61.5,57,874,4.63,4.6,2.84
0.35,"Ideal","D","VVS1",60.6,56,1330,4.58,4.59,2.78
1.61,"Premium","F","SI1",62.9,59,8024,7.5,7.43,4.69
0.73,"Ideal","G","VS2",60.9,57,3307,5.8,5.86,3.55
2.01,"Very Good","H","SI1",60,58,17095,8.16,8.25,4.92
1.01,"Premium","D","SI2",58.3,59,4672,6.67,6.63,3.88
0.9,"Premium","H","VVS2",60.3,61,4355,6.25,6.22,3.76
0.62,"Premium","F","VS1",60.1,58,1942,5.56,5.48,3.32
0.63,"Very Good","G","VS1",59.9,57,2241,5.57,5.62,3.35
0.3,"Ideal","I","VS2",62.1,54,438,4.32,4.35,2.69
0.82,"Ideal","E","SI1",62.1,54,3380,5.98,6.03,3.73
1.51,"Premium","G","SI1",62.7,58,10951,7.3,7.25,4.56
0.51,"Premium","D","SI1",60.3,59,1687,5.22,5.2,3.14
1.01,"Good","D","VS2",64.1,57,4466,6.32,6.22,4.02
0.33,"Ideal","I","IF",61.5,56,719,4.43,4.47,2.74
0.9,"Premium","H","VS2",62.6,58,3933,6.14,6.19,3.86
0.56,"Ideal","H","VVS1",60.8,57,1929,5.3,5.35,3.24
1.04,"Very Good","G","VS1",63.4,59,6814,6.46,6.38,4.07
2.49,"Premium","I","SI2",61.2,56,18325,8.76,8.7,5.34
0.24,"Premium","E","VS2",62.6,58,536,4.03,3.99,2.51
1.03,"Ideal","D","VS1",61.5,57,8742,6.48,6.52,4
0.31,"Ideal","G","VS1",62.9,57,802,4.32,4.3,2.71
0.42,"Very Good","D","VS2",63.8,54,910,4.74,4.79,3.04
1.19,"Ideal","H","SI1",62.3,55,5318,6.84,6.8,4.25
1,"Good","F","VS2",64.4,56,5407,6.23,6.28,4.03
0.53,"Ideal","H","SI1",62.5,56,1236,5.15,5.19,3.23
0.53,"Ideal","E","VS2",60.9,59,1607,5.17,5.21,3.16
0.3,"Ideal","E","VS2",61.5,55,658,4.32,4.4,2.68
0.72,"Premium","F","VS2",62.7,59,2584,5.71,5.75,3.59
1.33,"Good","J","VS2",57.4,62,5251,7.3,7.23,4.17
0.71,"Premium","J","VVS2",60.3,59,1843,5.79,5.82,3.5
2.01,"Good","H","SI1",62.8,59,14968,7.98,8.01,5.02
1.06,"Very Good","E","SI1",59.8,56,6169,6.63,6.67,3.98
1.01,"Very Good","F","SI1",62.8,58,4759,6.35,6.43,4.01
0.37,"Premium","D","SI1",61,62,874,4.64,4.61,2.82
0.9,"Very Good","F","SI1",63,61,4009,6.09,6.14,3.85
0.43,"Ideal","J","SI1",61.9,54,708,4.88,4.84,3.01
0.55,"Ideal","F","VS1",61.5,56,1896,5.26,5.3,3.25
0.31,"Ideal","G","VS1",62.3,54,586,4.31,4.33,2.69
0.41,"Premium","E","SI1",62.8,58,904,4.77,4.72,2.98
2.31,"Premium","J","SI1",61.1,60,15323,8.58,8.51,5.22
1.17,"Premium","H","I1",62.8,58,3669,6.71,6.69,4.21
0.3,"Very Good","G","VVS2",62.8,60,684,4.25,4.28,2.68
1.01,"Very Good","E","VS2",61.6,58,6754,6.43,6.49,3.98
1.02,"Ideal","H","SI1",61.7,57,5047,6.45,6.48,3.99
0.24,"Ideal","F","VS2",61.8,57,417,3.97,4.02,2.47
0.31,"Very Good","G","VVS1",63.4,57,1046,4.36,4.32,2.75
1.11,"Ideal","E","SI1",62.1,55,7218,6.66,6.68,4.14
1.01,"Premium","F","VS2",59.9,61,6097,6.5,6.46,3.88
0.7,"Fair","I","SI1",65.2,58,1749,5.6,5.56,3.64
1.02,"Very Good","H","SI1",60.3,59,4476,6.44,6.5,3.9
1.69,"Ideal","H","I1",62,56,6757,7.66,7.61,4.73
0.4,"Ideal","F","VVS1",61.3,55,1263,4.75,4.78,2.92
0.32,"Ideal","F","IF",61.9,55,915,4.38,4.44,2.73
1.01,"Very Good","G","VS2",61.4,59,5944,6.42,6.48,3.96
1.53,"Ideal","G","VVS2",61,55,15365,7.44,7.5,4.56
0.41,"Ideal","H","VS2",60.7,55,1163,4.83,4.86,2.94
0.71,"Ideal","G","VVS2",61.3,56,3307,5.75,5.77,3.53
0.83,"Ideal","H","VS2",61.3,54,2975,6.1,6.06,3.73
0.36,"Ideal","E","VS1",61.7,56,852,4.56,4.58,2.82
1,"Ideal","J","SI1",62.7,58,3788,6.35,6.41,4
0.91,"Very Good","E","SI2",63.4,58,3379,6.15,6.09,3.88
1.6,"Ideal","I","SI2",61.9,57,8530,7.51,7.48,4.64
1.03,"Premium","H","VS1",62.4,60,5883,6.48,6.43,4.03
0.74,"Ideal","F","VS1",62.3,56,3226,5.76,5.79,3.6
1.5,"Premium","F","SI2",62.4,58,7056,7.31,7.24,4.54
1.06,"Premium","D","SI2",62.5,56,5393,6.61,6.47,4.09
0.41,"Premium","G","VS2",60.9,61,1061,4.75,4.74,2.89
1.21,"Premium","I","SI1",61.7,56,6098,6.87,6.82,4.22
0.73,"Ideal","D","VS1",61.9,55,4258,5.78,5.81,3.59
0.41,"Ideal","G","VS1",60.8,56,899,4.79,4.82,2.92
0.3,"Ideal","J","IF",61.5,56,489,4.32,4.33,2.66
0.7,"Very Good","G","VS2",62.5,54,2562,5.63,5.69,3.54
0.52,"Premium","E","SI1",60.3,58,1369,5.2,5.24,3.15
1.22,"Ideal","H","SI2",62.3,55.3,5321,6.8,6.87,4.26
0.32,"Very Good","J","VS2",60,61,393,4.45,4.49,2.68
1.52,"Good","E","VS1",64,55,15792,7.27,7.19,4.63
0.71,"Ideal","I","VVS2",60.4,57,3007,5.78,5.81,3.5
0.98,"Very Good","H","SI2",63.4,57,3091,6.41,6.32,4.04
2.01,"Ideal","E","SI2",62.1,57,13387,8,7.88,4.93
0.6,"Ideal","F","VVS2",61.5,57,3196,5.42,5.45,3.34
0.38,"Very Good","I","SI1",59.7,62,601,4.7,4.74,2.82
0.3,"Very Good","E","VVS1",63.5,57,995,4.27,4.23,2.7
1.61,"Very Good","E","SI2",62.6,60,10293,7.39,7.49,4.66
1.01,"Very Good","F","SI2",62.5,61,3945,6.33,6.37,3.97
1.1,"Very Good","H","VVS2",59.7,57.8,6497,6.7,6.76,4.01
0.52,"Ideal","J","SI1",62,54,930,5.15,5.18,3.2
1,"Premium","H","SI2",59.6,62,3640,6.52,6.41,3.85
0.56,"Ideal","D","SI1",61.9,55,1803,5.31,5.29,3.28
0.7,"Ideal","D","VS2",62.8,57,2998,5.69,5.75,3.59
1.52,"Very Good","H","VS1",63.5,60,11912,7.28,7.24,4.61
1.51,"Very Good","E","VS2",62.4,59,14709,7.26,7.36,4.56
1.03,"Very Good","G","SI2",63.1,58,4060,6.41,6.37,4.03
0.74,"Fair","E","I1",58.2,65,1865,6.03,5.89,3.47
0.4,"Ideal","E","VS1",61.2,55,1005,4.79,4.76,2.92
0.33,"Premium","F","VS2",62.4,58,666,4.37,4.41,2.74
1.2,"Very Good","I","VS2",60.5,60,5941,6.86,6.93,4.17
0.3,"Ideal","H","IF",62.1,57,764,4.29,4.31,2.67
2.2,"Premium","H","SI2",61.5,58,12747,8.44,8.38,5.18
0.31,"Very Good","E","SI1",63,58,507,4.29,4.31,2.71
2.1,"Premium","J","SI2",62,62,12308,8.23,8.17,5.08
0.51,"Premium","J","SI1",61.7,56,956,5.17,5.14,3.18
0.57,"Ideal","F","VS2",62.1,55,1760,5.35,5.31,3.31
0.8,"Very Good","H","VS1",61.7,62,3209,5.89,5.94,3.65
0.72,"Ideal","D","VS2",61.8,57,3099,5.76,5.73,3.55
0.3,"Ideal","D","SI1",61,57,709,4.33,4.29,2.63
0.3,"Ideal","H","SI1",62.9,57,540,4.31,4.28,2.7
0.41,"Ideal","G","SI2",61.9,54,666,4.81,4.78,2.97
0.46,"Ideal","I","VVS2",62.7,56,1040,4.9,4.93,3.08
1.2,"Premium","G","VS1",62.4,58,8602,6.82,6.8,4.25
0.9,"Ideal","F","SI2",62.3,57,3679,6.19,6.17,3.85
2,"Ideal","H","SI1",61.8,57,12654,8.05,8.01,4.96
0.32,"Ideal","G","VS2",60.3,57,561,4.43,4.46,2.68
0.52,"Very Good","I","VVS2",61.9,56,1289,5.16,5.18,3.2
0.7,"Very Good","F","VS2",62.9,58,2803,5.63,5.65,3.55
1.16,"Good","F","SI2",63.7,63,4395,6.55,6.63,4.2
0.5,"Ideal","D","SI1",61.7,56,1623,5.16,5.11,3.17
0.41,"Premium","E","SI2",59.5,62,818,4.84,4.8,2.87
0.44,"Very Good","J","VVS2",63.6,58,834,4.8,4.83,3.06
0.5,"Fair","D","VS2",63.7,57,1431,5.05,4.9,3.17
1.24,"Premium","J","VS2",62,58,5128,6.87,6.91,4.27
0.38,"Ideal","E","VS2",61.5,55,813,4.67,4.7,2.88
1.02,"Premium","F","SI2",59.9,59,4162,6.56,6.59,3.94
1.22,"Premium","E","SI2",62.1,56,4974,6.89,6.83,4.26
1.56,"Very Good","F","SI1",60.7,59,11794,7.45,7.55,4.55
1,"Good","D","VS1",62.7,62,7672,6.21,6.23,3.9
0.58,"Good","G","VS2",63.2,58,1287,5.36,5.28,3.36
1.61,"Ideal","F","VS1",62,55,17414,7.55,7.52,4.67
1.18,"Ideal","E","VS1",62.4,54,9886,6.79,6.74,4.22
0.3,"Premium","I","VVS1",60.5,60,709,4.34,4.32,2.62
0.9,"Very Good","F","SI2",60.8,55,3552,6.25,6.28,3.81
0.72,"Very Good","H","VS1",60.1,57,2594,5.79,5.85,3.5
0.33,"Ideal","G","SI1",61.3,56,475,4.45,4.49,2.74
0.41,"Premium","D","VS1",60.6,59,1082,4.84,4.8,2.92
0.74,"Premium","D","SI2",61.8,59,2291,5.85,5.83,3.61
1.01,"Very Good","E","VS1",62.6,57,7306,6.28,6.37,3.96
1.53,"Premium","G","SI2",61.3,59,8799,7.49,7.43,4.57
0.32,"Ideal","G","VS1",61.9,55,602,4.4,4.42,2.73
0.4,"Ideal","F","VVS2",62.4,57,1163,4.73,4.69,2.94
0.72,"Very Good","G","VVS2",60.4,58,3043,5.77,5.82,3.5
0.42,"Ideal","D","SI1",61.8,57,1040,4.81,4.77,2.96
1.14,"Ideal","H","SI1",60.4,57,5861,6.78,6.83,4.11
1.07,"Premium","F","SI1",61.7,58,4597,6.58,6.62,4.07
0.72,"Premium","J","VS2",62.6,58,1814,5.72,5.66,3.56
1.13,"Premium","H","VS2",61.4,61,5650,6.71,6.67,4.11
1.54,"Ideal","I","SI2",62,59,8254,7.33,7.38,4.56
0.3,"Very Good","H","VS2",63.5,59,608,4.27,4.2,2.69
1,"Good","I","SI1",63.2,56,4015,6.31,6.37,4.01
1,"Very Good","I","SI1",63.3,56,4538,6.27,6.36,4
0.75,"Very Good","I","SI1",63.7,56,2300,5.73,5.77,3.66
2.09,"Premium","H","SI2",60.6,59,17805,8.27,8.22,5
0.51,"Fair","D","SI1",65.2,55,1304,5.05,5.01,3.28
0.33,"Ideal","E","VS2",62.3,56,723,4.46,4.47,2.78
0.42,"Very Good","D","VS2",63.2,58,910,4.77,4.79,3.02
0.35,"Premium","G","VS1",62.3,59,706,4.49,4.53,2.81
0.37,"Ideal","G","SI1",61.1,56,531,4.64,4.66,2.84
0.79,"Premium","F","SI1",62.3,54,2862,5.97,5.91,3.7
1.09,"Very Good","D","SI2",61.9,61,3890,6.54,6.58,4.06
0.54,"Ideal","E","VS1",62.6,55,1732,5.2,5.22,3.26
0.3,"Ideal","I","IF",62,57,615,4.28,4.3,2.66
0.72,"Premium","E","VS2",62.5,59,3024,5.73,5.7,3.57
0.9,"Premium","G","VS2",61.1,58,4152,6.22,6.25,3.81
1.2,"Premium","H","VS2",62.5,58,6416,6.77,6.73,4.23
0.3,"Ideal","F","VS1",61.4,56,658,4.33,4.37,2.67
2.11,"Ideal","J","VS1",61.8,56.2,15766,8.2,8.23,5.07
0.54,"Good","D","SI1",64.1,55,1619,5.15,5.11,3.29
0.71,"Good","G","SI1",64.1,58,2240,5.6,5.63,3.6
0.9,"Very Good","F","VS2",61.2,59,4186,6.2,6.26,3.81
1.01,"Premium","H","SI2",61.9,60,4242,6.43,6.4,3.97
1,"Fair","F","VS2",64.9,56,5840,6.26,6.31,4.08
0.3,"Premium","D","VS2",60.7,60,710,4.33,4.37,2.64
1.03,"Ideal","G","SI1",61.1,57,5147,6.54,6.58,4.01
1.3,"Very Good","J","SI2",61.1,61,5047,6.95,7,4.26
1.01,"Very Good","F","SI1",61,57,5174,6.44,6.54,3.96
0.31,"Ideal","E","VVS2",61.5,59,789,4.36,4.39,2.69
1.03,"Premium","G","VVS2",60.4,59,7729,6.58,6.56,3.97
0.7,"Ideal","D","VS1",61.7,57,3419,5.71,5.74,3.53
1,"Very Good","D","SI1",62.3,59,5342,6.26,6.29,3.91
1.01,"Very Good","E","VS2",60.9,57,6399,6.41,6.47,3.92
0.3,"Premium","G","SI1",62.9,59,574,4.28,4.24,2.68
0.54,"Premium","E","VS1",60.3,58,1939,5.26,5.32,3.19
1.26,"Very Good","G","SI1",63.2,61,7000,6.87,6.81,4.32
0.27,"Ideal","H","VVS2",62.2,56,527,4.15,4.18,2.59
1.34,"Ideal","D","I1",61.7,55,6303,7.12,7.08,4.38
0.9,"Fair","D","SI1",65.7,65,3751,6.06,5.94,3.94
1.23,"Ideal","H","VS2",62.2,55,7130,6.81,6.85,4.25
0.3,"Ideal","G","VVS1",61.7,55,747,4.31,4.35,2.67
0.5,"Premium","D","SI1",62.2,57,1654,5.11,5.08,3.17
0.41,"Ideal","I","VS2",61.5,55,683,4.79,4.83,2.96
1.09,"Premium","H","SI1",59.5,58,5706,6.73,6.71,4
1.52,"Premium","G","VS2",62,58,13606,7.39,7.33,4.56
0.24,"Very Good","G","VVS1",61.7,56,504,3.98,4.02,2.46
0.46,"Very Good","F","SI2",61.5,56,809,4.98,5.01,3.07
1.01,"Very Good","F","SI1",61.3,60,5975,6.39,6.43,3.93
0.53,"Ideal","G","SI1",62.4,55,1329,5.21,5.18,3.24
1.55,"Ideal","D","VS2",62.1,59,15887,7.34,7.37,4.57
0.29,"Good","F","SI1",57.4,61,545,4.39,4.42,2.53
0.56,"Ideal","F","VS2",62.6,56,1761,5.28,5.3,3.31
0.32,"Ideal","E","SI1",63.2,55,528,4.37,4.33,2.75
0.62,"Ideal","D","SI1",62.2,55,2062,5.51,5.45,3.41
0.33,"Ideal","G","SI2",62.9,55,557,4.46,4.41,2.79
0.23,"Ideal","G","IF",62.8,55,536,3.93,3.96,2.48
0.63,"Ideal","E","VS1",61.9,55,2565,5.46,5.5,3.4
1.03,"Very Good","G","SI2",63,60,3755,6.35,6.39,4.01
0.72,"Ideal","J","SI1",61.7,56,1853,5.77,5.81,3.57
0.35,"Ideal","E","SI1",61,57,614,4.54,4.57,2.78
1.5,"Very Good","I","VS1",60.8,63,9281,7.37,7.41,4.49
1.03,"Ideal","F","SI2",61.8,56,4454,6.49,6.46,4
1.2,"Ideal","I","SI1",60.1,56,5578,6.9,6.84,4.13
1.5,"Good","H","SI2",64.3,57,7500,7.18,7.15,4.61
0.32,"Good","I","SI2",63.4,56,374,4.34,4.37,2.76
0.36,"Ideal","D","VS2",62.5,55,773,4.55,4.57,2.85
1.01,"Good","J","SI1",62.8,58,3399,6.28,6.33,3.96
0.47,"Premium","J","SI2",61.9,59,867,4.99,4.96,3.08
0.77,"Premium","H","SI1",60.9,60,2457,5.89,5.87,3.58
0.67,"Good","F","VS1",64.4,57,2244,5.55,5.6,3.6
1.01,"Good","G","SI2",61.1,62,3948,6.38,6.48,3.93
1.02,"Very Good","H","VS2",63.3,60,5255,6.42,6.38,4.05
1.03,"Ideal","E","SI1",62.1,56,5476,6.43,6.48,4.01
1.02,"Good","F","SI1",63.5,57,4594,6.35,6.4,4.05
1.57,"Premium","G","SI1",59.2,59,11113,7.68,7.6,4.52
1.21,"Premium","H","VS2",59.3,60,6974,6.99,6.93,4.13
0.8,"Premium","E","SI1",61.5,58,3356,5.93,5.97,3.66
1.01,"Very Good","G","VS2",62.4,58,5696,6.37,6.41,3.99
0.3,"Ideal","E","VS2",62.1,55,658,4.28,4.32,2.67
0.38,"Ideal","G","VVS1",61.6,57,1140,4.73,4.65,2.89
0.31,"Good","F","VVS2",63.6,55,846,4.33,4.29,2.74
0.3,"Good","H","SI1",63.9,55,421,4.24,4.27,2.72
1.11,"Premium","F","SI2",58.9,60,4612,6.8,6.74,3.99
0.72,"Premium","E","VS2",60.4,61,3024,5.79,5.76,3.49
0.79,"Ideal","E","VS2",59.3,57,3377,6.02,6.06,3.58
1.21,"Very Good","F","SI1",60.2,60,7877,6.92,6.96,4.18
0.3,"Very Good","G","VVS1",60.7,56,725,4.32,4.35,2.63
2.01,"Very Good","I","VVS2",63.5,58,15952,7.92,7.82,5
1.5,"Very Good","I","VS1",62.8,58,9033,7.17,7.23,4.52
1.57,"Ideal","G","VS2",61.7,56,14283,7.42,7.49,4.6
1.52,"Ideal","I","VS1",62.9,60,10214,7.31,7.27,4.59
0.57,"Ideal","F","VS1",61.9,55,2189,5.34,5.32,3.3
0.58,"Very Good","I","VVS1",63,57,1790,5.31,5.35,3.36
0.7,"Fair","J","VS2",64.6,58,1672,5.58,5.56,3.6
0.9,"Premium","F","SI1",61.7,62,3936,6.19,6.13,3.8
0.9,"Good","G","VS2",63.9,61,3792,6.01,5.97,3.83
0.41,"Premium","F","VVS2",61.6,59,1017,4.79,4.73,2.93
0.31,"Premium","G","SI1",63,58,593,4.34,4.3,2.72
1.01,"Premium","F","VVS2",61.8,55,8688,6.45,6.36,3.96
2.21,"Premium","H","SI2",62.9,60,13369,8.27,8.23,5.19
0.31,"Ideal","E","VS2",61.9,55,872,4.39,4.34,2.7
0.7,"Very Good","F","SI1",62.2,58,2230,5.66,5.69,3.53
0.41,"Ideal","E","VS1",61.4,55,1076,4.84,4.8,2.96
1.52,"Ideal","F","VS2",62.5,55,14915,7.42,7.31,4.6
0.5,"Very Good","E","VS2",61.3,58,1624,5.06,5.12,3.12
0.9,"Good","E","SI1",63.8,56,3800,6.12,6.05,3.88
0.36,"Ideal","E","VS2",61.7,55,742,4.57,4.6,2.83
0.71,"Very Good","G","VS2",62.3,63,2335,5.7,5.64,3.53
0.7,"Good","D","SI1",64.2,60,2298,5.59,5.62,3.6
2.32,"Premium","J","SI2",62.5,58,14666,8.47,8.43,5.28
0.3,"Ideal","H","VVS1",62,56,636,4.31,4.34,2.68
0.41,"Very Good","G","VS1",60.5,56,823,4.83,4.85,2.93
0.78,"Ideal","D","SI1",61.9,57,2799,5.91,5.86,3.64
0.25,"Very Good","F","VVS1",64.2,58,548,3.96,4.01,2.56
1.13,"Very Good","I","VS2",61.6,57,4348,6.73,6.78,4.16
1.34,"Premium","I","VS2",61.8,59,6754,7.07,7.04,4.36
0.91,"Premium","G","VS2",60.8,56,4357,6.28,6.21,3.8
0.81,"Ideal","F","SI1",61.8,55,3004,6.04,6,3.72
1.6,"Ideal","G","VVS1",60.8,56,16339,7.58,7.54,4.6
0.3,"Ideal","F","VVS2",61.9,54.1,728,4.31,4.33,2.67
0.5,"Very Good","D","SI1",60.8,58,1436,5.07,5.13,3.1
2.06,"Premium","I","SI2",61.8,58,14803,8.22,8.11,5.05
0.36,"Very Good","F","VS1",60.1,59,825,4.62,4.66,2.78
0.55,"Premium","F","VS2",62.7,58,2376,5.28,5.25,3.3
0.3,"Premium","H","IF",60.4,60,789,4.3,4.34,2.61
1.5,"Good","G","VS1",63.8,58,13720,7.21,7.12,4.57
1.5,"Fair","I","I1",71.3,58,4368,6.85,6.81,4.87
1.25,"Premium","D","SI2",59.8,55,4543,7.07,7.01,4.21
0.33,"Premium","I","VS1",62.7,58,521,4.4,4.43,2.77
0.31,"Very Good","G","VS1",62.7,54,542,4.35,4.36,2.73
0.72,"Ideal","G","SI2",62.1,59,2139,5.71,5.76,3.56
2.02,"Premium","I","SI1",61.4,58,14240,8.14,8.07,4.98
0.91,"Ideal","E","SI1",61.2,58,4513,6.24,6.3,3.84
0.3,"Ideal","F","IF",62,58,886,4.25,4.3,2.65
0.31,"Ideal","F","IF",62,55,901,4.37,4.41,2.72
1.51,"Very Good","I","VS2",61.6,57,9185,7.28,7.34,4.5
0.71,"Good","E","VS2",63.2,57,2416,5.63,5.66,3.56
1.45,"Very Good","J","SI1",62.4,57,6316,7.16,7.23,4.49
1.01,"Good","E","SI1",64.2,59,5232,6.27,6.19,4
1.09,"Very Good","H","VS2",63,54,5551,6.61,6.54,4.14
0.42,"Ideal","G","VVS1",61.4,56,1179,4.81,4.83,2.96
1.3,"Premium","G","VS2",62.5,58,9120,6.97,6.93,4.36
0.9,"Good","G","VS1",61,62,4395,6.16,6.24,3.78
0.39,"Ideal","E","SI1",60.6,57,677,4.75,4.79,2.89
0.7,"Premium","F","SI2",60.3,58,1806,5.79,5.76,3.48
1,"Good","E","SI2",63.7,61,4265,6.27,6.2,3.97
0.54,"Ideal","E","SI2",60.6,57,1246,5.25,5.28,3.19
1,"Premium","F","SI1",61.8,58,5151,6.44,6.37,3.96
1.2,"Ideal","I","VS1",62.1,56.5,6210,6.8,6.84,4.23
0.7,"Ideal","I","VS2",62.2,55,2268,5.73,5.69,3.55
0.33,"Ideal","H","VVS2",61.7,56,854,4.44,4.41,2.73
0.3,"Good","F","VS2",63.1,55,484,4.24,4.29,2.69
0.32,"Ideal","E","VS1",61.5,56,758,4.38,4.4,2.7
0.54,"Very Good","H","SI1",61.7,54,1065,5.23,5.27,3.24
1.08,"Premium","F","SI1",62.1,58,4864,6.57,6.61,4.09
0.78,"Ideal","E","VS2",61.4,56,3582,5.91,5.95,3.64
1.29,"Premium","I","SI1",62,59,6140,7.03,6.98,4.34
1,"Premium","H","SI2",61,61,3864,6.31,6.27,3.84
1.32,"Ideal","E","VS2",62,56,10919,7.02,7.07,4.37
0.4,"Premium","D","VVS2",58.3,59,1152,4.9,4.88,2.85
0.71,"Good","E","VS1",59.4,61,3464,5.8,5.89,3.47
